Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
5016c6c6-cdb1-4c21-bb32-6e5e40f36fb9,Alex,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,1/5/2019,1:08:00 PM,Ewallet,522.83,4.761904762,26.1415,9.1
9cea444c-a3dd-493d-a95a-884f054a12d6,Giza,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,10:29:00 AM,Cash,76.4,4.761904762,3.82,9.6
bbbe665a-a8f3-45b1-ade8-6c7b4f4faf2f,Alex,Yangon,Normal,Female,Home and lifestyle,46.33,7,16.2155,340.5255,3/3/2019,1:23:00 PM,Credit card,324.31,4.761904762,16.2155,7.4
f86730d0-875e-4563-889b-62831931a450,Alex,Yangon,Member,Female,Health and beauty,58.22,8,23.288,489.048,1/27/2019,8:33:00 PM,Ewallet,465.76,4.761904762,23.288,8.4
24249d1e-b395-4700-88d2-f3bd1fe918d2,Alex,Yangon,Member,Female,Sports and travel,86.31,7,30.2085,634.3785,2/8/2019,10:37:00 AM,Ewallet,604.17,4.761904762,30.2085,5.3
22878cfb-9890-4b1b-b760-59faf231fa6d,Giza,Naypyitaw,Member,Female,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2019,6:30:00 PM,Ewallet,597.73,4.761904762,29.8865,4.1
2e4f598a-2119-4df4-bb70-28c50d9ec526,Alex,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,2:36:00 PM,Ewallet,413.04,4.761904762,20.652,5.8
91aaf649-d14f-4e80-9c45-8af418cfc781,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38:00 AM,Ewallet,735.6,4.761904762,36.78,8.0
d99d9ae4-35ec-4572-b7b0-a80679754aaa,Alex,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,1/10/2019,5:15:00 PM,Credit card,72.52,4.761904762,3.626,7.2
17d37b7b-31a1-4050-9e52-a289e1593092,Cairo,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2/20/2019,1:27:00 PM,Credit card,164.52,4.761904762,8.226,5.9
1981e010-2886-4d4b-aca9-66006b207c65,Cairo,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2/6/2019,6:07:00 PM,Ewallet,57.92,4.761904762,2.896,4.5
ace0fd33-56da-4636-ac68-12c75e8e3cb9,Cairo,Mandalay,Member,Female,Electronic accessories,25.51,4,5.102,107.142,3/9/2019,5:03:00 PM,Cash,102.04,4.761904762,5.102,6.8
40543eaa-37c1-4242-a83d-5911f1acf65c,Alex,Yangon,Member,Female,Electronic accessories,46.95,5,11.7375,246.4875,2/12/2019,10:25:00 AM,Ewallet,234.75,4.761904762,11.7375,7.1
8b2eb238-da56-43e5-b79d-63836b8f5cda,Alex,Yangon,Member,Female,Food and beverages,43.19,10,21.595,453.495,2/7/2019,4:48:00 PM,Ewallet,431.9,4.761904762,21.595,8.2
5643086d-6622-4990-93e5-60c26004dff1,Alex,Yangon,Member,Female,Health and beauty,71.38,10,35.69,749.49,3/29/2019,7:21:00 PM,Cash,713.8,4.761904762,35.69,5.7
ca573c6d-17ef-44d6-8ffa-b95ef399c20f,Cairo,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,1/15/2019,4:19:00 PM,Cash,562.32,4.761904762,28.116,4.5
