customer_id,customer_name,customer_segment,city,state,country,industry
37b29d63-26ad-46f9-a68b-6b2f92669575,******************,Retail,Indore,Telangana,India,Automotive
c6afa931-2635-478a-ad55-3a57e571dfdc,****************,Enterprise,Mumbai,Maharashtra,India,Automotive
2949bd33-532f-4127-b6ce-301c488db4a9,*********************,SMB,Indore,Telangana,India,Safety
59d4deba-b792-4f27-b9f2-018bd8ea8214,*********************,SMB,Lucknow,Uttar Pradesh,India,Automotive
36567848-876a-41da-a72d-d7c71bb0c490,********************,Enterprise,Indore,Telangana,India,Industrial
fac42e2a-27fe-492e-9ccb-b5f44205416a,*****************,Enterprise,Hyderabad,Karnataka,India,Industrial
d66c1c65-4f86-450b-9a9e-1f4d8f5811d1,*********************,SMB,Chennai,Tamil Nadu,India,Automotive
0f51c17a-292c-42fd-b747-066631ea10e0,****************,SMB,Hyderabad,Karnataka,India,Packaging
4232e57c-8eb2-4843-8563-931cf2681946,*********************,SMB,Bengaluru,Maharashtra,India,Packaging
3f67e975-ee16-4cd2-a0e1-ee0991524a84,*****************,Enterprise,Mumbai,Uttar Pradesh,India,IT
bfba5c98-c9fd-4ca9-bb3d-c4b87ebb7af6,*****************,SMB,Hyderabad,Karnataka,India,Automotive
ee87bcb2-8f6b-4b98-ab4a-c795ef8eb594,*********************,Enterprise,Chennai,Madhya Pradesh,India,Packaging
0cd858d6-fdb8-4f94-8548-fe88cdc25ace,*********************,SMB,Kochi,Kerala,India,Electronics
c935b1ef-9ba2-4fc9-a361-90bca85f9ea0,******************,Retail,Indore,Telangana,India,Automotive
1550f663-0327-4730-a195-fd5abbf22478,*******************,Enterprise,Hyderabad,Karnataka,India,Packaging
e7e8f5c4-dcef-477e-85c9-99ce15bc9137,****************,SMB,Lucknow,Uttar Pradesh,India,Automotive
bd1550e5-812f-4197-bd96-b735435fee31,*****************,Retail,Chennai,Tamil Nadu,India,Automotive
c849c36e-130a-4768-b75c-b8ffc513b8a9,*****************,SMB,Jaipur,Rajasthan,India,Safety
f74d0783-3180-4905-80b2-d04671e687bd,******************,SMB,Pune,Madhya Pradesh,India,Safety
60a842bf-9fbb-409b-9280-6bf250424ed0,****************,Retail,Hyderabad,Karnataka,India,Automotive
a9ff7e77-49df-463a-a9e7-728a7e37cb57,*******************,SMB,Pune,Madhya Pradesh,India,Safety
2e0de13f-ff02-4ec2-a25c-6eef3562da6d,*********************,SMB,Indore,Telangana,India,Safety
b550e78a-1bf5-4e9d-933f-2720b38d167d,********************,Retail,Indore,Telangana,India,Electronics
f159ac31-a692-4580-85a9-028d767b7855,********************,Retail,Lucknow,Uttar Pradesh,India,Safety
7f6f4c6c-93dd-4d95-89f6-b192c94f630a,*********************,Enterprise,Kochi,West Bengal,India,Industrial
69fe5cad-80b0-44aa-bad4-bf81ffda9880,*********************,SMB,Bengaluru,Karnataka,India,Industrial
1285280d-6043-4e43-8c49-aa6bc44e53cd,*********************,SMB,Indore,Telangana,India,Packaging
a1af1fde-7bb8-48c9-89d6-5b0043f4e217,****************,SMB,Chennai,West Bengal,India,Industrial
3f2ea1e3-f686-4f0e-91f0-b78ac58979be,**********************,Enterprise,Mumbai,Maharashtra,India,Automotive
5e036b8c-fc41-492c-a429-38242e3522d7,********************,SMB,Kochi,Kerala,India,Safety
802148ea-5c5b-484a-a6c3-a48d2f54d626,******************,SMB,Kochi,Kerala,India,IT
d8fdbf65-ba4e-4a73-9470-2ef208ddf562,********************,Retail,Pune,Madhya Pradesh,India,Automotive
d0ab219d-25ae-45fc-aed1-f6399a2edd89,****************,Enterprise,Indore,Telangana,India,Safety
01f527be-5120-4a44-86bf-5f19361e5293,********************,SMB,Jaipur,Rajasthan,India,Industrial
fdc47441-0584-4c36-b6cb-6ad85605941e,*****************,Enterprise,Kochi,Kerala,India,Safety
d17805bf-9031-4023-806d-7137da9af99f,*******************,Enterprise,Kolkata,West Bengal,India,Industrial
3dd03e09-7785-4bfe-abce-9f4d095ad3e9,******************,Enterprise,Ahmedabad,Gujarat,India,Electronics
723f37fe-b1b0-4df2-9012-70b2b29c7041,*****************,Enterprise,Bengaluru,Maharashtra,India,Electronics
1e736db1-3f5a-4f85-a7f3-20f3149cb9f2,*********************,Retail,Indore,Telangana,India,Automotive
c123d022-2de5-4dac-a030-f7cead4c5f2c,********************,SMB,Pune,Madhya Pradesh,India,Industrial
56bb71bc-2d5b-403b-9daa-267ba330e081,****************,SMB,Ahmedabad,Gujarat,India,Industrial
26b4c366-53b2-4827-a812-72d4dc5e8546,*********************,Retail,Lucknow,Uttar Pradesh,India,Safety
3600c40d-c09c-4e4e-83fa-d0bc07c1bdf2,*****************,SMB,Kolkata,West Bengal,India,Industrial
6a474a83-c3a9-4cf9-9629-a6693fda70f2,**********************,SMB,Indore,Telangana,India,Industrial
0d5a4b56-64c2-4306-8edd-2859972c9222,********************,SMB,Indore,Telangana,India,Safety
374d751d-b652-483f-b0ef-1bc0f763023f,*****************,SMB,Kolkata,West Bengal,India,Industrial
5b014670-6826-4764-8f23-062236f6aeaf,********************,SMB,Hyderabad,Karnataka,India,Industrial
d55a93eb-eced-4480-a9d9-e2d2c8b3ccdc,******************,SMB,Indore,Telangana,India,Industrial
5ad97361-704c-4035-bbcd-9568e0dd780d,******************,SMB,Indore,Telangana,India,Safety
62e1e41c-868f-48a6-a03e-be8be800ced2,********************,SMB,Bengaluru,Karnataka,India,Automotive
c1b18f95-c3a5-4c86-a4dd-583a931fbcb9,*****************,Retail,Pune,Madhya Pradesh,India,Industrial
0ad7ac65-e5b9-4ea7-8f39-44aa079b7828,********************,SMB,Delhi,Delhi,India,IT
f53569d5-dfca-4485-b1b5-0aad1619988e,*********************,Retail,Bengaluru,Maharashtra,India,Industrial
8b94026c-0c50-43e3-9e61-cbee181c811c,********************,Enterprise,Chennai,Madhya Pradesh,India,Industrial
572f7bab-72e7-4c1d-b22c-bbf8f69a0fb7,*****************,Enterprise,Kolkata,West Bengal,India,IT
3123f38e-784f-4d4f-81f5-a82a15e50d6e,********************,Retail,Indore,Telangana,India,Industrial
ead1aae1-1225-472c-b7ec-8becf7ff5abc,********************,Enterprise,Mumbai,Uttar Pradesh,India,Safety
91743e17-010c-4b56-ad32-14f5cc789fb6,*****************,SMB,Hyderabad,Karnataka,India,Industrial
700840ae-d733-40e7-9d38-6faa5657078f,********************,Enterprise,Kolkata,West Bengal,India,IT
e6e2af2e-7109-49a9-9fcc-2f16375758e1,*********************,SMB,Pune,Madhya Pradesh,India,Industrial
363ea69d-578b-47a5-a751-c50e8834f89a,****************,SMB,Indore,Telangana,India,Industrial
3e413bcc-20ed-4899-a5f5-6e488d1475d4,*******************,Enterprise,Delhi,Delhi,India,Industrial
f079844d-867e-4685-8fd6-8dca321aa0d6,*****************,Retail,Mumbai,Uttar Pradesh,India,Industrial
fcb93c6b-91ed-4ab2-828f-17c817e3e62c,*********************,SMB,Mumbai,Maharashtra,India,Automotive
d36b5ad2-0ae3-43d7-b06c-5c66d560ce33,*********************,SMB,Bengaluru,Maharashtra,India,Automotive
29d70f27-8fe4-44f2-ac7e-2d9eb579a718,*****************,SMB,Lucknow,Uttar Pradesh,India,IT
3e414473-a9df-4ea8-9375-e0ae1bcd9cf7,*******************,SMB,Kolkata,West Bengal,India,Safety
5b582152-8ee5-4710-bba5-11ebb5aa2599,******************,SMB,Hyderabad,Karnataka,India,Automotive
f8664eb1-37a6-4600-9fab-879a57471892,****************,Retail,Bengaluru,Maharashtra,India,Automotive
